input,output
0,0.383275538
0,0.206156962
0,0.10598232
1,0.353571928
1,0.536902117
0,0.340474289
0,0.184641791
1,0.395201825
1,0.558177098
0,0.351203786
1,0.490024941
1,0.60789708
1,0.676525462
1,0.712778115
1,0.731292135
1,0.740626683
1,0.745309464
0,0.447653957
0,0.238826823
0,0.122413381
0,0.061806684
0,0.031023341
1,0.31553567
0,0.217772635
0,0.120887278
1,0.362843831
1,0.541901954
1,0.643046985
0,0.395942694
1,0.512855187
0,0.319404362
0,0.172297534
1,0.388667838
1,0.554837733
0,0.349519629
1,0.489179967
1,0.607474014
1,0.676313813
1,0.712672268
1,0.731239206
0,0.440600218
0,0.235296232
1,0.42064734
1,0.570923515
1,0.657581727
0,0.403214857
1,0.516492227
0,0.321223073
1,0.473206929
1,0.599122543
0,0.372065087
0,0.200533307
0,0.103166806
0,0.052163434
1,0.326197723
1,0.523122063
1,0.633565672
0,0.391183764
1,0.510472068
1,0.618212071
0,0.381701243
1,0.505369663
1,0.61558864
0,0.380375082
0,0.204703693
0,0.105255077
0,0.053208185
0,0.026720222
0,0.013383337
0,0.006696313
1,0.303349086
0,0.211674729
0,0.117837402
1,0.361318708
1,0.541139356
0,0.342665678
1,0.485752039
0,0.30575986
0,0.165456698
1,0.385243702
1,0.553124922
1,0.648663075
0,0.39875166
0,0.214259855
0,0.110106732
1,0.355648727
0,0.237943436
0,0.130995532
0,0.067902529
1,0.334432217
0,0.227312299
1,0.425675388
1,0.575241541
0,0.36010154
0,0.194546924
0,0.100172693
1,0.350666193
1,0.535449066
1,0.639747727
1,0.694278502
0,0.422020179
0,0.225986275
1,0.415988375
0,0.268593235
0,0.146416427
0,0.075632175
1,0.33830088
0,0.229247398
0,0.126643091
1,0.365725424
1,0.543343488
0,0.343767899
1,0.48630318
0,0.306035436
0,0.165594487
1,0.385312598
1,0.55315937
0,0.348680299
1,0.488760272
1,0.607264161
0,0.376208885
1,0.502619804
0,0.314212974
1,0.469687101
1,0.597359674
1,0.671183061
0,0.410092176
0,0.219946217
1,0.412953134
0,0.267072572
0,0.145655487
0,0.075251584
0,0.03811056
0,0.019152234
1,0.309595508
0,0.214801632
0,0.119401592
1,0.362100951
0,0.241530506
0,0.132861259
1,0.368849831
0,0.244908756
1,0.434551146
0,0.279694927
0,0.152331334
0,0.078662441
1,0.339830575
0,0.230015159
0,0.127027554
0,0.065917772
0,0.033439685
1,0.316816002
0,0.218427233
0,0.121217463
0,0.063009501
0,0.031984904
0,0.016088483
1,0.308063448
1,0.514035565
0,0.329018551
0,0.178909429
1,0.392334745
0,0.256743379
0,0.140486891
1,0.372666486
0,0.246817851
0,0.135505847
0,0.070172308
0,0.035570031
0,0.017881791
0,0.00896025
0,0.004483996
1,0.302242772
1,0.511121541
0,0.327560801
0,0.178180407
1,0.391970205
1,0.556561103
0,0.350395751
0,0.189620916
0,0.097695066
0,0.049424455
1,0.324827612
1,0.522436883
0,0.333223057
1,0.481012451
1,0.60338641
0,0.374269242
1,0.501649828
1,0.613727956
0,0.379444586
0,0.204238415
1,0.405022432
0,0.263091861
0,0.143662059
1,0.374254255
1,0.547611773
1,0.645902815
0,0.397370794
0,0.213569274
